feature,summary,sample,x,y,sample_text
1191,"Geographic Locations, Individuals, Art and Entertainment, Historical Figures","""Michael Cullen is an American actor who usually works in New York City.""",9.845084,8.120898,Michael Cullen is an American actor who usually works in New York City.
1192,Twelve instances or elements,"""Switzerland contributed another 12.""",6.8680425,1.664851,Switzerland contributed another 12.
1193,Courthouses and Government Buildings,"""The court is also located near Songdo Central Park.""",10.799335,3.3388062,The court is also located near Songdo Central Park.
1194,"Locations named Kingston, Various.","""He was born in Kingston, Surrey County.""",11.749168,5.8483915,"He was born in Kingston, Surrey County."
1195,Names associated with Islam or Muslim figures,"""Prophet Muhammad is reported to have said in a hadith in Sunan ibn Maja.""",11.561191,7.9387407,Prophet Muhammad is reported to have said in a hadith in Sunan ibn Maja.
1196,Solomon-Related Entities or Solomon-Associated Individuals,"""Colin Beck is a Solomon Islands diplomat.""",10.51023,7.0018997,Colin Beck is a Solomon Islands diplomat.
1197,Establishments Founded (Year Varied),"""Founded in 1965, it has branch campuses in Europe.""",12.095938,0.93555003,"Founded in 1965, it has branch campuses in Europe."
1198,"Release Dates/Releases, Media Publication, Timeline of Launches","""It was released on February 28, 2010.""",12.120579,-0.2898217,"It was released on February 28, 2010."
1199,"Secondary Education, Grades 9-12, Students (Age Range)","""It serves students in grades 9-12.""",7.2642517,1.6560434,It serves students in grades 9-12.
1200,Layered Material Processing and Fabrication,"""Often this has to be done when layers created from adjacent map sheets are joined together.""",8.671981,4.184387,Often this has to be done when layers created from adjacent map sheets are joined together.
1201,"Album Sales Success, Chart Performance, Critical Reception","""It achieved a UK Gold Disk for album sales in excess of 100,000 copies.""",10.019851,-1.2349498,"It achieved a UK Gold Disk for album sales in excess of 100,000 copies."
1202,"Number, Locations, Historical References","""In 2012, the 42nd DSN was held in Boston, United States.""",6.7733765,1.747627,"In 2012, the 42nd DSN was held in Boston, United States."
1203,Boston-Related Topics,"""Boston City Council elections were held on November 6, 2007.""",12.530064,8.465236,"Boston City Council elections were held on November 6, 2007."
1204,"Winners and Matches, Awards, Competitive Events","""Kenya won the match by 24 runs.""",13.350788,2.6704767,Kenya won the match by 24 runs.
1205,"Relative Positions, Grid Representation, Geometric Designs","""The Z-matrix simply is a representation for placing atomic positions in a relative way with the obvious convenience that the vectors it uses easily correspond to bonds.""",9.210371,4.3664513,The Z-matrix simply is a representation for placing atomic positions in a relative way with the obvious convenience that the vectors it uses easily correspond to bonds.
1206,Industries and Economic Activities,"""Its primary industry is agriculture.""",9.600328,3.3042164,Its primary industry is agriculture.
1207,"Entities and Media (Media, Entities)","""Media Transfer Protocol (MTP) is used for transferring data.""",12.117819,7.942544,Media Transfer Protocol (MTP) is used for transferring data.
1208,"Artisans, Sculptors, Creators","""As sculptor he was autodidact.""",10.43948,1.6982769,As sculptor he was autodidact.
1209,"IUCN Conservation Status, Species, Threat Levels","""It was formerly classified as a species of Least Concern by the IUCN.""",8.776512,3.860368,It was formerly classified as a species of Least Concern by the IUCN.
1210,Music Television (MTV) Content,"""The video was frequently featured on MTV.""",11.215158,0.12470097,The video was frequently featured on MTV.
1211,Barbados-Related Entities or Events,"""Antonio Carlos Barbosa is a Brazilian basketball coach.""",9.047445,8.72897,Antonio Carlos Barbosa is a Brazilian basketball coach.
1212,"Penn State Connections, Historical Pennies, Various Penn-Related Entities","""The 2003 Penn State Nittany Lions football team represented the Pennsylvania State University in the 2003 NCAA Division I-A football season.""",8.5988245,7.2233443,The 2003 Penn State Nittany Lions football team represented the Pennsylvania State University in the 2003 NCAA Division I-A football season.
1213,Australian Connections,"""Animals Australia is an Australian animal protection organization.""",13.400808,5.2878046,Animals Australia is an Australian animal protection organization.
1214,"Locations, Art, and Names (Bargoed, Borgo, Fargo, Catania, Sicily, Agrigento, Galicia, Kumasi, Ashanti Region, etc.), referencing various contexts such as birthplaces, publishers, albums, films, towns, stations, banks, horses, and code names.","""He was born in Bargoed.""",11.107307,7.799819,He was born in Bargoed.
1215,"Hoverflies (or Flies), Music, and Moving (Actuators, Lifts).","""Graptomyza is a genus of hoverflies.""",8.920171,5.409207,Graptomyza is a genus of hoverflies.
1216,"Novels: Sci-fi (Zimbabwe setting), Translation, Death, Mystery, Time (parallels JFK's death), Radical ideas, Disability, Politics, Friendship, Travel, Emails and letters, Diverse locations","""The novel is set in Zimbabwe in the year 2194.""",10.040398,0.47523227,The novel is set in Zimbabwe in the year 2194.
1217,"Ward population statistics, Local governance, Electoral divisions","""It consisted of 9 wards.""",6.7892323,6.9908333,It consisted of 9 wards.
1218,"Lists of films by year and country, with a focus on release years. (e.g., ""Year-wise, country-specific films"")","""A list of films produced in France in 2003.""",10.585919,-0.14943239,A list of films produced in France in 2003.
1219,"Healthcare/Customers, Patients, Organizations","""Users include logisticians and manufacturers.""",7.8581595,1.6136189,Users include logisticians and manufacturers.
1220,"Soviet Union Era, Cold War, Historical Events","""She made her debut for the Soviet National Team in 1989.""",10.462844,9.071014,She made her debut for the Soviet National Team in 1989.
1221,"Individuals, Origins, Deaths, Careers, Diversity","""Virk was a community volunteer.""",9.743195,8.363505,Virk was a community volunteer.
1222,"Montana, Political/Geographical Entities, U.S. Locations","""Montana adopted term limits in 1992.""",11.915305,8.183198,Montana adopted term limits in 1992.
1223,"Historical, Religious, or Mythical Figures","""He was the illegitimate son of the fifth and last Baronet of the 1671 creation.""",11.98927,2.6448352,He was the illegitimate son of the fifth and last Baronet of the 1671 creation.
1224,"Rental, Historical, Non-Verbal","""The properties are for rental only.""",8.7784195,2.0677567,The properties are for rental only.
1225,Both/Dual/Multiple Contexts,"""The church did both.""",8.2138,1.424569,The church did both.
1226,"Locations in, or associated with, United Kingdom and/or England","""It was recorded at Nottingham Royal Concert Hall.""",8.063375,8.290744,It was recorded at Nottingham Royal Concert Hall.
1227,"Random House Publications, Irregular/Strange Events, Various Releases","""It is published by Random House and Orion.""",9.539989,3.1980348,It is published by Random House and Orion.
1228,"Student, Education, Campus Organizations","""The station is a member of The Student Radio Association.""",12.175986,4.1877484,The station is a member of The Student Radio Association.
1229,"Singers and Musicians, Various Nationalities, Diverse Music Styles","""Katie Pepper is an English singer.""",9.635244,-0.7060485,Katie Pepper is an English singer.
1230,"People, Names, Announcements (or Variants)","""The county seat is Princess Anne.""",9.512323,5.711301,The county seat is Princess Anne.
1231,Additions Over Time,"""Ornamental iron railings were added later.""",9.131417,2.2600675,Ornamental iron railings were added later.
1232,Paramount Pictures Productions and Distribution,"""Paramount Pictures handled distribution.""",11.373375,-0.40917638,Paramount Pictures handled distribution.
1233,Person or Role Change (Year),"""When she returned in 1992, Julie Mullins took over the role.""",12.374854,0.8858703,"When she returned in 1992, Julie Mullins took over the role."
1234,"Apprenticeships and Training, Literary Works Inspired by Apprenticeship, and Historical Figures with Apprenticeship Connections","""Brande Roderick, Dennis Rodman, and Claudia Jordan all returned for All-Star Celebrity Apprentice.""",11.9986725,4.4251013,"Brande Roderick, Dennis Rodman, and Claudia Jordan all returned for All-Star Celebrity Apprentice."
1235,"English Heritage, Anglo-Saxon, British Culture","""Many Anglican churches are of Anglo-Saxon or Norman architecture.""",7.775013,8.135057,Many Anglican churches are of Anglo-Saxon or Norman architecture.
1236,"Government Officials, Their Roles, and Tenure","""The Minister had to intervene.""",12.423389,3.0914438,The Minister had to intervene.
1237,"Geographical Locations, Historical Sites, Biological Entities","""It won the 1998 Dilys Award.""",9.455769,7.529056,It won the 1998 Dilys Award.
1238,"Characters or Roles in Various Media (Film, TV, Comics)","""He was played by Trace Beaulieu.""",11.910647,2.4587204,He was played by Trace Beaulieu.
1239,"Became a Leader, Held a Title, Acquired a Status","""In 1978 he became World President of Rotary International.""",11.30928,2.4389544,In 1978 he became World President of Rotary International.
1240,"Music, Diversity, Creativity, Globality","""The Seven Mile Journey is a Danish post-rock band.""",10.200045,-0.93145883,The Seven Mile Journey is a Danish post-rock band.
1241,"Recorded/Released, Artists, Bowie-Related","""It was rerecorded by Bowie in 2000 and released for the first time in 2002.""",10.399047,8.054563,It was rerecorded by Bowie in 2000 and released for the first time in 2002.
1242,"Mechanical Systems, Physical Structures, Observations","""When the contact tip is pushed onto a piece of work, the lower piston chamber (which also serves as the piston bore) is pushed into the upper part, sealing it.""",8.726489,4.1764154,"When the contact tip is pushed onto a piece of work, the lower piston chamber (which also serves as the piston bore) is pushed into the upper part, sealing it."
1243,"Family, Relationships, Narratives","""Manny, Luke and Alex stay home to babysit Lily who asks them if they know how babies are made.""",9.708122,0.72775954,"Manny, Luke and Alex stay home to babysit Lily who asks them if they know how babies are made."
1244,"Geographical Locations, Historical Figures, Personalities (Humans)","""A related agent is exemestane (Aromasin).""",10.51493,8.17275,A related agent is exemestane (Aromasin).
1245,"Individuals, Locations, Entities (Names)","""MIF is an important regulator of innate immunity.""",10.203757,5.8006573,MIF is an important regulator of innate immunity.
1246,"Interactive Systems or Entities, Historical Context, Varied Locations","""It had extensive graphics capability.""",9.519218,1.5146859,It had extensive graphics capability.
1247,Nokia Mobile Devices and Related Technology,"""The Nokia 6110 was a GSM mobile phone from Nokia announced in December 1997.""",8.229247,3.770179,The Nokia 6110 was a GSM mobile phone from Nokia announced in December 1997.
1248,Policy Making and Implementation,"""Administrative Procedure Act is responsible for all the Federal agency policies.""",10.204234,3.484831,Administrative Procedure Act is responsible for all the Federal agency policies.
1249,"Independent Management, Production, and Publication","""The initial release of the Circular provided a policy framework for information resources management (IRM) across the Federal government.""",9.594969,3.102277,The initial release of the Circular provided a policy framework for information resources management (IRM) across the Federal government.
1250,"Technological Developments, Artistic Collaborations, Publications/Establishments (1849-2005)","""Multimodal Architecture and Interfaces is an open standard developed by the World Wide Web Consortium since 2005.""",12.579991,0.65718305,Multimodal Architecture and Interfaces is an open standard developed by the World Wide Web Consortium since 2005.
1251,"People from various fields (acting, psychology, writing, music, politics, history, science, education, and art)","""Brian Coburn (15 December 1936 - 28 December 1989) was a Scottish actor.""",11.827779,3.1620893,Brian Coburn (15 December 1936 - 28 December 1989) was a Scottish actor.
1252,"Sports Tournaments, Conference Championships, NCAA Bids","""The 1997 Northeast Conference Men's Basketball Tournament was held in March.""",13.182986,2.4454362,The 1997 Northeast Conference Men's Basketball Tournament was held in March.
1253,Published Memoirs and Books,"""The phrase became the title of his memoir, published in 2013.""",10.422345,0.43668413,"The phrase became the title of his memoir, published in 2013."
1254,Ethiopian Contexts,"""Their total Ethiopian population is about 183,000 people.""",11.690469,6.667808,"Their total Ethiopian population is about 183,000 people."
1255,"Events, Dates, Competitions","""The final was held on Saturday August 10, 2002.""",13.059285,1.7749505,"The final was held on Saturday August 10, 2002."
1256,"United Methodist Churches, Historical Methodist Buildings, Methodist Associations","""The new Methodist Church opened on 29 July 1934.""",10.95579,5.837235,The new Methodist Church opened on 29 July 1934.
1257,"CONCACAF Sports Competitions, Historical Events, Geographical Locations, Educational Institutions, Sports Teams (and one miscellaneous: Accredited Camps)","""A total of 18 CONCACAF teams entered the competition.""",10.969482,7.270933,A total of 18 CONCACAF teams entered the competition.
1258,Individuals' Deaths,"""He died on 17 February 2010.""",11.493967,2.8335853,He died on 17 February 2010.
1259,"People or entities named Rogers, across various professions and regions.","""Rogers is a Connecticut native.""",10.829353,6.590122,Rogers is a Connecticut native.
1260,"French/Dutch/English Communities, Locations, Entertainment Entities","""Goincourt is a commune in the Oise department in northern France.""",8.285899,8.00212,Goincourt is a commune in the Oise department in northern France.
1261,"Places named West*, Broadcasting, Education","""Westfield Township was organized in 1866.""",7.2156825,7.50556,Westfield Township was organized in 1866.
1262,Settlements in Kenya's Provinces,"""Nyangwani is a settlement in Kenya's Coast Province.""",10.78,9.178261,Nyangwani is a settlement in Kenya's Coast Province.
1263,Geographical Entities or Locations,"""Their most recent AFE tour ended in February 2007.""",10.078345,5.7555523,Their most recent AFE tour ended in February 2007.
1264,"Bills, Namesakes, Associations","""They have a longer bill than the purple finch.""",9.105216,9.214359,They have a longer bill than the purple finch.
1265,"Maine-based individuals, locations, and institutions","""Maine Wing headquarters are located in Augusta, Maine.""",12.553702,8.389004,"Maine Wing headquarters are located in Augusta, Maine."
1266,Popular Culture Figures or Phenomena,"""Fads are objects or behaviors that achieve short-lived popularity but fade away.""",10.063605,5.7092266,Fads are objects or behaviors that achieve short-lived popularity but fade away.
1267,Majority Ownership/Creative Collaboration/Production,"""The company was majority owned by Welsh, Carson, Anderson & Stowe.""",9.991569,0.94571644,"The company was majority owned by Welsh, Carson, Anderson & Stowe."
1268,"Aquatic Environments/Locations, Containers, Structures/Buildings","""Many field trips also visit the aquarium.""",8.617442,4.8465304,Many field trips also visit the aquarium.
1269,Assistance Provision,"""Les Edgar helped by providing financial support.""",10.11347,3.2935812,Les Edgar helped by providing financial support.
1270,Releases Dates (Various),"""It was released on August 29, 2012.""",11.581054,-0.7248797,"It was released on August 29, 2012."
1271,"Instrumental, Non-Interest Loans, Red Design (or Philippine Origin)","""Most are from the Philippines.""",8.492446,1.8539411,Most are from the Philippines.
1272,"Individuals, Origins, Locations (or Places of Birth), Historical Figures","""He hailed from Bate village in Dagamra.""",12.010648,2.704734,He hailed from Bate village in Dagamra.
1273,"Films, musical scores, production.","""The film had musical score by Tomin Thachankari.""",9.65607,-0.22273205,The film had musical score by Tomin Thachankari.
1274,Processing Systems or Devices,"""Philips Speech Processing was part of the Philips Consumer Lifestyle sector.""",9.179755,3.6333928,Philips Speech Processing was part of the Philips Consumer Lifestyle sector.
1275,"Sun, Names, Associations","""Perhaps this religious building associated with the god of the sun.""",10.164369,6.1614566,Perhaps this religious building associated with the god of the sun.
1276,"Number of episodes, show durations, series conclusions","""Each part was only 15 episodes.""",11.329836,0.47370973,Each part was only 15 episodes.
1277,"Intended Purpose, Creation, Communication","""It was meant to deliver the elegance that she exuded.""",9.292713,2.0200002,It was meant to deliver the elegance that she exuded.
1278,Consulting Professionals,"""A tax advisor or tax consultant is a person with advanced training and knowledge of tax law.""",10.834303,3.1353123,A tax advisor or tax consultant is a person with advanced training and knowledge of tax law.
1279,"Names, Places, Individuals (or Entities)","""Following the Battle of Cannae, Hannibal sent Carthalo to Rome as a peace envoy.""",8.162351,3.1032588,"Following the Battle of Cannae, Hannibal sent Carthalo to Rome as a peace envoy."
1280,"European Expansion and Colonization, Cultural Interaction, Historical Domination","""European powers and the colonies also enlisted Indian tribes to help them conduct warfare against one another's colonial settlements.""",10.264563,2.9391868,European powers and the colonies also enlisted Indian tribes to help them conduct warfare against one another's colonial settlements.
1281,"Song Appearances in Albums, Movies, and Media","""The song was featured on the band's debut album.""",10.27413,-0.76620287,The song was featured on the band's debut album.
1282,Boundary Descriptions,"""The Red River forms its western boundary.""",6.9414616,3.5335636,The Red River forms its western boundary.
1283,"American, Creative Professionals (Writing, Music, Film, Art)","""Kenny Fries (born September 22, 1960) is an American memoirist and poet.""",12.92863,7.1965704,"Kenny Fries (born September 22, 1960) is an American memoirist and poet."
1284,People (Various Professions),"""Amy Spanger is an American actress, singer and dancer.""",12.689372,7.363072,"Amy Spanger is an American actress, singer and dancer."
1285,Release Dates (Various Years),"""It was released October 13, 2006.""",11.858557,-0.4767035,"It was released October 13, 2006."
1286,"Characters/People, Places, Dates (Year of Introduction or Incident)","""In 2014 he appeared in Boomers as Trevor.""",9.33844,7.682926,In 2014 he appeared in Boomers as Trevor.
1287,"Movies, Directed by Various Filmmakers, Various Indian Languages","""Dharmaa is a 2010 Nepali film directed by Dipendra K. Khanal.""",10.672689,-0.043841373,Dharmaa is a 2010 Nepali film directed by Dipendra K. Khanal.
1288,"Native species diversity, globally distributed","""It is native to Israel.""",7.359089,4.490623,It is native to Israel.
1289,"Entertainment, Historical Figures, Geographical Regions","""But Barrondo picked up two red cards.""",11.192283,7.805206,But Barrondo picked up two red cards.
1290,Organic Compounds and Chemical Derivatives,"""It is one of the six isomers of dichlorophenol.""",8.733876,4.5316606,It is one of the six isomers of dichlorophenol.
1291,"People and their residences, mainly in the United States and Canada","""His primary working studio is maintained in West Virginia.""",11.899407,2.5827978,His primary working studio is maintained in West Virginia.
1292,Multiple Occurrences,"""In reality many people have more than one subscription.""",8.00507,1.4073318,In reality many people have more than one subscription.
1293,Ministries and Government Departments,"""It is subordinated the Ministry of Finance.""",12.319699,3.1897943,It is subordinated the Ministry of Finance.
1294,"Aerial maneuvers, physical moves, sport techniques","""It is distinct from the gymnastics maneuver of the same name.""",9.556657,3.5508485,It is distinct from the gymnastics maneuver of the same name.
1295,"Railway stations, varied locations","""Omagh railway station served Omagh in County Tyrone in Northern Ireland.""",6.381882,4.6917787,Omagh railway station served Omagh in County Tyrone in Northern Ireland.
1296,"Cost, Charges, Fees (or Free)","""There was no charge for membership.""",10.288217,4.166294,There was no charge for membership.
1297,"Departures or Leaving, Left-related, and Political Contexts","""Following the war the population left again.""",8.065886,5.3352966,Following the war the population left again.
1298,Principal Figures or Towns,"""Currently, Tom Houts is the principal.""",11.994115,3.6572933,"Currently, Tom Houts is the principal."
1299,North American Mammals and Food Item (Corn Snakes and Cornmeal Cakes),"""They are found in Asia.""",7.4251733,4.7997093,They are found in Asia.
1300,Polish Individuals and Entities,"""Czachowski represented Poland 45 times in the late 1980s and early 1990s.""",9.531071,8.172252,Czachowski represented Poland 45 times in the late 1980s and early 1990s.
1301,Composed Music (or Musicians),"""Spatial music is composed music that intentionally exploits sound localization.""",9.610961,-0.43379575,Spatial music is composed music that intentionally exploits sound localization.
1302,Texas Locations and History,"""The books are set in Texas.""",10.617184,10.028264,The books are set in Texas.
1303,Population count (census year: 2010),"""As of the 2010 census the population was 525 residents.""",6.810037,1.1154996,As of the 2010 census the population was 525 residents.
1304,"Skill Development, Learning, Empowerment","""As such, the only training provided is on military skills.""",9.945342,2.9584312,"As such, the only training provided is on military skills."
1305,"Multi-location Names (Belles, Bellevues, etc.)","""Belle Vue, is a multi-purpose stadium in Rhyl, Wales.""",9.6499405,9.357224,"Belle Vue, is a multi-purpose stadium in Rhyl, Wales."
1306,"Natural, Cultural, Diverse Entities","""A very prickly shrub, it is rarely cultivated but easy to grow.""",8.0195675,2.527756,"A very prickly shrub, it is rarely cultivated but easy to grow."
1307,"Institutions, Research, Medical Topics","""The Brooklyn Hebrew Orphan Asylum was constructed in Brooklyn, New York.""",10.185891,4.6525745,"The Brooklyn Hebrew Orphan Asylum was constructed in Brooklyn, New York."
1308,"Filming Locations, Various Regions","""Filming began in Hawaiian Gardens.""",9.9993515,0.11341008,Filming began in Hawaiian Gardens.
1309,Procurement and Supply Chain Management,"""These variations in requirements and supply are amplified within the supply chain when re-orders are made.""",9.434034,3.470591,These variations in requirements and supply are amplified within the supply chain when re-orders are made.
1310,"Internet, Access, Services","""It is now internet only.""",8.747502,3.6357412,It is now internet only.
1311,"Reality Television Series, Competition, Celebrity-focused","""It is a spin-off of the American reality television game shows The Bachelor and The Bachelorette.""",11.052466,0.2883075,It is a spin-off of the American reality television game shows The Bachelor and The Bachelorette.
1312,Progressive Political Parties and Movements,"""The Progressive Conservative Party of Canada led a majority government for the 24th Canadian Parliament.""",10.779688,3.766587,The Progressive Conservative Party of Canada led a majority government for the 24th Canadian Parliament.
1313,"Professionals, Editors, Directors","""He is the Program Director of Higher Education at the Grattan Institute.""",12.096862,2.8685024,He is the Program Director of Higher Education at the Grattan Institute.
1314,"Protein Domains, Structural Motifs, Genetic Encoding","""One domain may appear in a variety of different proteins.""",8.634664,3.681612,One domain may appear in a variety of different proteins.
1315,"College Athletics Variety (Basketball, Football, Hockey, Tennis)","""He played college basketball at Campbell University.""",12.937314,4.1039853,He played college basketball at Campbell University.
1316,Causes Harm to Living Things,"""It can cause disease in humans.""",9.2613945,2.8688412,It can cause disease in humans.
1317,Indexing Systems and Applications,"""Since 1957, there have been ten revisions to Index components.""",10.401064,4.44023,"Since 1957, there have been ten revisions to Index components."
1318,Professional Italian Soccer and Transfers,"""He plays for Piacenza as a right back.""",13.421849,4.0447836,He plays for Piacenza as a right back.
1319,Google Acquisitions and Services,"""See list of academic databases and search engines.""",12.675376,6.5715003,See list of academic databases and search engines.
1320,"Larvae, Locations, and Associations","""Larvae can be found from autumn to June.""",9.680598,6.78882,Larvae can be found from autumn to June.
1321,Grimm-Related Entities,"""The series is set at Grimm Academy in the country of Grimmlandia.""",12.7976055,6.4868836,The series is set at Grimm Academy in the country of Grimmlandia.
1322,Belfast and Related Subjects,"""She is depicted in many of Belfast's nationalist murals.""",9.620473,9.38486,She is depicted in many of Belfast's nationalist murals.
1323,"American Connections, Literary Works, Leadership Roles","""Herbert A. Allen Jr. is an American businessman and former president of Allen & Company.""",8.889769,8.146373,Herbert A. Allen Jr. is an American businessman and former president of Allen & Company.
1324,"Geographic Locations, Art/Culture, Biological Entities","""The Cipiapa Formation is a geologic formation in Mexico.""",9.076253,7.1780205,The Cipiapa Formation is a geologic formation in Mexico.
1325,"Teachers, Various Universities, Diverse Subjects","""She teaches at Columbia University.""",12.218173,3.8328197,She teaches at Columbia University.
1326,"Places and Entities (Geographical Names, People)","""It covers the central and eastern parts of Lusaka.""",9.690403,7.007446,It covers the central and eastern parts of Lusaka.
1327,"Large, Biological, Diverse Cells","""Its cells are egg-shaped.""",8.625144,4.3376193,Its cells are egg-shaped.
1328,"Geographical Entities, Individuals, Titles or Works, Technological or Scientific Concepts","""Daniel Kalles Pettersson is a Swedish football manager.""",9.928048,6.955485,Daniel Kalles Pettersson is a Swedish football manager.
1329,"American/Canadian Individuals or Figures (Nugent, Schultz, Puente, Beggs, Tinsley, Nutt, Penzone, Runge, Andrea Nugent, Melien, Higson, Kerr)","""Nugent attended Purdue University.""",10.461714,7.80903,Nugent attended Purdue University.
1330,"Collaborative Artists, Musical Projects, Historical Figures","""Featuring Stone and Echo.""",10.179122,-0.49954465,Featuring Stone and Echo.
1331,Chairpersons Across Diverse Organizations,"""She serves as the chairman of Shire.""",12.148796,3.3060002,She serves as the chairman of Shire.
1332,"Mammals, Films, Names (Human, Animal, Places)","""It was released by American label Fat Possum Records the year after the band's debut, Summer of Hate.""",8.152318,6.7916727,"It was released by American label Fat Possum Records the year after the band's debut, Summer of Hate."
1333,Batman-related Characters and Media,"""Schuhmacher or Schumacher (28 Feb 1894, Amsterdam - 5 June 1986, Amsterdam) was a Dutch painter and designer.""",9.549516,9.1100235,"Schuhmacher or Schumacher (28 Feb 1894, Amsterdam - 5 June 1986, Amsterdam) was a Dutch painter and designer."
1334,Establishment Years,"""Panther Creek was established in 2006.""",12.519777,0.84456104,Panther Creek was established in 2006.
1335,"Traces or Tracking, Remains, Footprints","""No trace of the building remains today.""",9.787006,5.2251463,No trace of the building remains today.
1336,"Result Consistency, Change Over Time, Separation","""The result is the same.""",9.016687,1.5247605,The result is the same.
1337,Heavy Metal or Weight-Related Topics,"""Their sound is predominantly heavy metal.""",6.61246,5.616993,Their sound is predominantly heavy metal.
1338,"Gap, Variety, Location","""The Best of Gap Band is album released in 1995 on Mercury.""",7.579903,4.9769487,The Best of Gap Band is album released in 1995 on Mercury.
1339,Professional Organizations and Associations,"""The Ghana Scout Association is the national Scouting association of Ghana.""",11.4761715,5.473743,The Ghana Scout Association is the national Scouting association of Ghana.
1340,Notable Individuals Named Craig,"""Craigie is a northern suburb of Perth.""",9.445831,6.73491,Craigie is a northern suburb of Perth.
1341,"Media, Production, Services","""The network broadcasts 24/7 entertainment, music and news.""",8.729683,2.7402868,"The network broadcasts 24/7 entertainment, music and news."
1342,"Individuals (People, Politicians, Athletes, Musicians)","""He was the father of Marcus Fabius Ambustus.""",10.915538,7.850394,He was the father of Marcus Fabius Ambustus.
1343,Vehicle Registration and License Plates,"""The U.S. state of Wisconsin first required its residents to register their motor vehicles and display license plates in 1905.""",8.164287,4.6841884,The U.S. state of Wisconsin first required its residents to register their motor vehicles and display license plates in 1905.
1344,"Authors, Scholars, Professionals","""Robert A. Metzger (born 1956) is an electrical engineer and science fiction author.""",12.888447,7.21623,Robert A. Metzger (born 1956) is an electrical engineer and science fiction author.
1345,"Historical Events, 20th Century Focus, Specific Years","""It was given to the 20th United States Congress.""",12.504701,1.2150924,It was given to the 20th United States Congress.
1346,"Android Smartphones, Manufactured Devices, Telecommunication Devices","""The Moto G is an Android smartphone developed and manufactured by Motorola Mobility.""",8.268706,3.7964766,The Moto G is an Android smartphone developed and manufactured by Motorola Mobility.
1347,Weekly Animated/Live-Action Comedy Series (with lost episodes),"""Episodes are normally 11 minutes.""",11.287701,0.43162063,Episodes are normally 11 minutes.
1348,Advanced Progression or Advancement,"""The Advanced Higher is an optional qualification which forms part of the Scottish secondary education system.""",10.820765,4.0799313,The Advanced Higher is an optional qualification which forms part of the Scottish secondary education system.
1349,Geographical Termini (or Endpoints),"""Its eastern terminus is at an intersection with US 75 north of Dawson.""",6.603092,4.7396965,Its eastern terminus is at an intersection with US 75 north of Dawson.
1350,Range of locations/areas/sizes,"""Study sites range from near shore to the open ocean.""",7.8444552,2.5763972,Study sites range from near shore to the open ocean.
1351,"People, Names, Associations (or Variants)","""Mabel \""Madea\"" Simmons is a character created and portrayed by Tyler Perry.""",10.399154,7.1261716,"Mabel ""Madea"" Simmons is a character created and portrayed by Tyler Perry."
1352,"Cross-platform Software Development, Interactive Programming, Library Access","""It uses the GTK+ toolkit.""",8.61136,3.2292936,It uses the GTK+ toolkit.
1353,"Acronyms and Organizations, Events, Initialisms and Abbreviations","""The opposite is called wh in situ.""",7.095587,7.3465924,The opposite is called wh in situ.
1354,"Psychological Identity, Self-Identification, Identity Construction","""It assesses how people identify themselves psychologically.""",9.379142,2.1593068,It assesses how people identify themselves psychologically.
1355,"Topics, Varied, but Related to Study, Analysis, or Discourse","""Most scholars feel that this verse originally referred to the last judgment.""",8.513388,2.0642786,Most scholars feel that this verse originally referred to the last judgment.
1356,"Albums release years, record labels","""It was released in 1992 on Empty Records.""",11.509153,-0.70207536,It was released in 1992 on Empty Records.
1357,Paralympic Competitions,"""They won a silver medal at that Paralympics.""",12.326569,5.632369,They won a silver medal at that Paralympics.
1358,"Bottle Openers/Keys, People/Names, Locations","""A churchkey or church key is any of various kinds of bottle openers and can openers.""",11.0373745,9.257242,A churchkey or church key is any of various kinds of bottle openers and can openers.
1359,"International Presence, Calendars, Geographical Locations","""The presence of Paraguayans in Italy dates back to the 1980s.""",10.629176,8.182367,The presence of Paraguayans in Italy dates back to the 1980s.
1360,Sydney-Related Topics,"""She currently resides in Sydney.""",10.224239,7.470119,She currently resides in Sydney.
1361,"Sports, Governance, Locations (Monaco, Mauritius, Madagascar, Sint Maarten)","""He later became Director-General of RC Strasbourg and AS Monaco.""",11.962251,8.05907,He later became Director-General of RC Strasbourg and AS Monaco.
1362,"Towns, Villages, Geographical Connections","""Lalganj was an important town and river port.""",10.551648,8.359969,Lalganj was an important town and river port.
1363,"Urban Areas, Geographical Locations, Administrative Entities","""Nairobi has the greatest concentration of Nubi speakers.""",8.213989,3.0404146,Nairobi has the greatest concentration of Nubi speakers.
1364,Multiple G-Related Entities,"""The unit g (or g) represents multiples of the acceleration of gravity and is conventionally used.""",12.632079,6.5822825,The unit g (or g) represents multiples of the acceleration of gravity and is conventionally used.
1365,"North, Geographical Locations, or Associations","""A north aisle was added in 1890.""",8.123058,8.887521,A north aisle was added in 1890.
1366,"Entities of Various Origin (Bollywood films, corporations, individuals, television series, dog breeds, etc.)","""Magadraj is a Bollywood film.""",11.44907,5.0627913,Magadraj is a Bollywood film.
1367,"Objects, Entities, or Organizations Transition or Change","""Following her decommissioning Bonaventure was sold for scrap and broken up in Taiwan.""",10.82051,2.1239927,Following her decommissioning Bonaventure was sold for scrap and broken up in Taiwan.
1368,"Income, Taxes, Finance","""Profits or net income generally imply total revenue minus total expenses in a given period.""",10.39158,4.1168914,Profits or net income generally imply total revenue minus total expenses in a given period.
